STATE,Year,Total,Number,"Standard
error",Percent,"Standard
error"
Alabama,2018,4877,779,65,16,1.3
Alaska,2018,720,94,9,13.1,1.2
Arizona,2018,7241,929,80,12.8,1.1
Arkansas,2018,2912,462,38,15.9,1.3
California,2018,39150,4664,184,11.9,0.5
Colorado,2018,5739,521,51,9.1,0.9
Connecticut,2018,3413,348,43,10.2,1.3
Delaware,2018,976,72,9,7.4,1
District of Columbia,2018,692,102,8,14.7,1.1
Florida,2018,21117,2883,173,13.7,0.8
Georgia,2018,10423,1548,115,14.8,1.1
Hawaii,2018,1393,128,16,9.2,1.1
Idaho,2018,1766,202,25,11.5,1.4
Illinois,2018,12589,1292,130,10.3,1
Indiana,2018,6582,761,68,11.6,1
Iowa,2018,3110,277,30,8.9,1
Kansas,2018,2835,212,27,7.5,0.9
Kentucky,2018,4445,696,76,15.7,1.7
Louisiana,2018,4510,858,38,19,0.8
Maine,2018,1321,153,19,11.6,1.4
Maryland,2018,6030,480,50,8,0.8
Massachusetts,2018,6883,601,59,8.7,0.9
Michigan,2018,9913,1036,78,10.5,0.8
Minnesota,2018,5746,456,47,7.9,0.8
Mississippi,2018,2899,567,27,19.6,0.9
Missouri,2018,6026,745,81,12.4,1.3
Montana,2018,1041,107,12,10.3,1.1
Nebraska,2018,1893,199,25,10.5,1.3
Nevada,2018,3008,390,37,13,1.2
New Hampshire,2018,1349,82,11,6.1,0.8
New Jersey,2018,8790,725,65,8.2,0.7
New Mexico,2018,2054,342,27,16.6,1.3
New York,2018,19343,2145,110,11.1,0.6
North Carolina,2018,10369,1355,96,13.1,0.9
North Dakota,2018,745,72,9,9.7,1.2
Ohio,2018,11452,1365,115,11.9,1
Oklahoma,2018,3858,518,48,13.4,1.2
Oregon,2018,4172,404,45,9.7,1.1
Pennsylvania,2018,12519,1476,124,11.8,1
Rhode Island,2018,1036,92,15,8.9,1.4
South Carolina,2018,5036,642,45,12.8,0.9
South Dakota,2018,853,90,8,10.6,0.9
Tennessee,2018,6665,800,73,12,1.1
Texas,2018,28497,3894,173,13.7,0.6
Utah,2018,3173,219,37,6.9,1.2
Vermont,2018,616,60,7,9.7,1.1
Virginia,2018,8393,821,86,9.8,1
Washington,2018,7555,647,101,8.6,1.3
West Virginia,2018,1762,279,21,15.9,1.2
Wisconsin,2018,5795,499,54,8.6,0.9
Wyoming,2018,565,53,6,9.5,1.1
Alabama,2017,4806,723,49,15,1
Alaska,2017,717,103,14,14.4,1.9
Arizona,2017,6990,926,107,13.2,1.5
Arkansas,2017,2924,432,28,14.8,0.9
California,2017,39237,4872,187,12.4,0.5
Colorado,2017,5527,427,53,7.7,1
Connecticut,2017,3555,388,42,10.9,1.2
Delaware,2017,967,89,10,9.2,1
District of Columbia,2017,692,94,7,13.6,1.1
Florida,2017,20894,2864,175,13.7,0.8
Georgia,2017,10227,1356,103,13.3,1
Hawaii,2017,1402,144,18,10.3,1.3
Idaho,2017,1732,202,20,11.7,1.2
Illinois,2017,12604,1379,105,10.9,0.8
Indiana,2017,6533,748,63,11.4,1
Iowa,2017,3054,278,37,9.1,1.2
Kansas,2017,2870,421,37,14.7,1.3
Kentucky,2017,4401,633,69,14.4,1.6
Louisiana,2017,4538,970,53,21.4,1.2
Maine,2017,1317,158,20,12,1.5
Maryland,2017,5967,467,62,7.8,1
Massachusetts,2017,6796,724,63,10.6,0.9
Michigan,2017,9889,1259,95,12.7,1
Minnesota,2017,5619,519,66,9.2,1.2
Mississippi,2017,2947,538,41,18.3,1.4
Missouri,2017,5979,666,86,11.1,1.4
Montana,2017,1039,101,10,9.7,0.9
Nebraska,2017,1875,194,23,10.4,1.2
Nevada,2017,2982,409,37,13.7,1.2
New Hampshire,2017,1334,88,13,6.6,0.9
New Jersey,2017,9007,774,82,8.6,0.9
New Mexico,2017,2040,380,30,18.6,1.5
New York,2017,19733,2641,150,13.4,0.8
North Carolina,2017,10292,1494,99,14.5,1
North Dakota,2017,742,84,10,11.3,1.3
Ohio,2017,11502,1458,102,12.7,0.9
Oklahoma,2017,3817,482,46,12.6,1.2
Oregon,2017,4199,430,60,10.2,1.4
Pennsylvania,2017,12571,1411,92,11.2,0.7
Rhode Island,2017,1045,127,15,12.2,1.5
South Carolina,2017,4959,773,56,15.6,1.1
South Dakota,2017,871,91,12,10.4,1.4
Tennessee,2017,6699,769,55,11.5,0.8
Texas,2017,28078,3768,181,13.4,0.6
Utah,2017,3127,269,34,8.6,1.1
Vermont,2017,613,63,8,10.2,1.3
Virginia,2017,8249,847,77,10.3,0.9
Washington,2017,7431,736,63,9.9,0.9
West Virginia,2017,1794,311,28,17.3,1.5
Wisconsin,2017,5808,551,43,9.5,0.7
Wyoming,2017,560,70,8,12.4,1.4
Alabama,2016,4821,782,63,16.2,1.3
Alaska,2016,708,89,12,12.6,1.7
Arizona,2016,6878,1108,79,16.1,1.1
Arkansas,2016,2941,471,28,16,0.9
California,2016,39143,5435,175,13.9,0.4
Colorado,2016,5502,467,51,8.5,0.9
Connecticut,2016,3567,351,45,9.8,1.3
Delaware,2016,947,110,12,11.6,1.3
District of Columbia,2016,685,112,7,16.3,1
Florida,2016,20524,2659,125,13,0.6
Georgia,2016,10270,1580,116,15.4,1.1
Hawaii,2016,1392,129,17,9.3,1.2
Idaho,2016,1679,187,17,11.1,1
Illinois,2016,12583,1517,102,12.1,0.8
Indiana,2016,6493,768,67,11.8,1
Iowa,2016,3099,302,29,9.8,0.9
Kansas,2016,2859,321,33,11.2,1.2
Kentucky,2016,4383,667,57,15.2,1.3
Louisiana,2016,4573,923,46,20.2,1
Maine,2016,1317,167,19,12.7,1.4
Maryland,2016,5930,424,54,7.1,0.9
Massachusetts,2016,6775,649,56,9.6,0.8
Michigan,2016,9875,1091,82,11.1,0.8
Minnesota,2016,5430,470,49,8.7,0.9
Mississippi,2016,2943,622,46,21.1,1.5
Missouri,2016,5878,762,73,13,1.2
Montana,2016,1031,121,10,11.7,1
Nebraska,2016,1870,179,26,9.6,1.4
Nevada,2016,2941,298,38,10.1,1.3
New Hampshire,2016,1316,84,11,6.4,0.8
New Jersey,2016,8836,828,82,9.4,0.9
New Mexico,2016,2043,364,33,17.8,1.6
New York,2016,19459,2314,146,11.9,0.7
North Carolina,2016,10056,1363,105,13.6,1
North Dakota,2016,749,83,9,11.1,1.2
Ohio,2016,11442,1573,109,13.7,0.9
Oklahoma,2016,3911,571,73,14.6,1.9
Oregon,2016,4124,486,49,11.8,1.2
Pennsylvania,2016,12526,1396,100,11.1,0.8
Rhode Island,2016,1052,119,15,11.4,1.4
South Carolina,2016,4898,690,60,14.1,1.2
South Dakota,2016,855,124,13,14.5,1.5
Tennessee,2016,6652,988,87,14.9,1.3
Texas,2016,27662,3812,166,13.8,0.6
Utah,2016,3077,264,30,8.6,1
Vermont,2016,622,60,6,9.6,1
Virginia,2016,8163,929,83,11.4,1
Washington,2016,7289,800,60,11,0.8
West Virginia,2016,1808,326,31,18,1.7
Wisconsin,2016,5764,620,51,10.7,0.9
Wyoming,2016,571,62,7,10.9,1.2
Alabama,2015,4820,784,60,16.3,1.2
Alaska,2015,703,65,6,9.2,0.9
Arizona,2015,6728,1156,84,17.2,1.3
Arkansas,2015,2951,475,27,16.1,0.9
California,2015,39081,5441,211,13.9,0.5
Colorado,2015,5420,538,69,9.9,1.3
Connecticut,2015,3572,324,43,9.1,1.2
Delaware,2015,958,106,12,11.1,1.2
District of Columbia,2015,676,113,8,16.6,1.2
Florida,2015,20071,3253,176,16.2,0.9
Georgia,2015,10100,1833,111,18.1,1.1
Hawaii,2015,1382,151,16,10.9,1.1
Idaho,2015,1657,204,21,12.3,1.3
Illinois,2015,12683,1380,104,10.9,0.8
Indiana,2015,6502,880,72,13.5,1.1
Iowa,2015,3100,321,39,10.4,1.3
Kansas,2015,2849,404,42,14.2,1.5
Kentucky,2015,4365,851,57,19.5,1.3
Louisiana,2015,4599,854,57,18.6,1.2
Maine,2015,1340,165,20,12.3,1.5
Maryland,2015,5892,566,70,9.6,1.2
Massachusetts,2015,6777,782,65,11.5,1
Michigan,2015,9852,1259,98,12.8,1
Minnesota,2015,5458,428,58,7.8,1.1
Mississippi,2015,2947,563,33,19.1,1.1
Missouri,2015,5946,582,71,9.8,1.2
Montana,2015,1018,121,12,11.9,1.2
Nebraska,2015,1858,192,18,10.3,1
Nevada,2015,2864,371,36,13,1.3
New Hampshire,2015,1293,94,13,7.3,1
New Jersey,2015,8936,1004,95,11.2,1.1
New Mexico,2015,2036,400,28,19.7,1.4
New York,2015,19645,2791,156,14.2,0.8
North Carolina,2015,9887,1509,95,15.3,1
North Dakota,2015,763,82,12,10.7,1.5
Ohio,2015,11435,1550,105,13.6,0.9
Oklahoma,2015,3887,551,45,14.2,1.1
Oregon,2015,4029,478,69,11.9,1.7
Pennsylvania,2015,12564,1542,107,12.3,0.9
Rhode Island,2015,1044,123,16,11.8,1.5
South Carolina,2015,4790,683,56,14.3,1.2
South Dakota,2015,848,118,10,13.9,1.2
Tennessee,2015,6605,973,70,14.7,1.1
Texas,2015,27396,4036,207,14.7,0.8
Utah,2015,3004,279,30,9.3,1
Vermont,2015,609,65,8,10.7,1.3
Virginia,2015,8216,894,81,10.9,1
Washington,2015,7193,819,54,11.4,0.8
West Virginia,2015,1795,261,46,14.5,2.6
Wisconsin,2015,5736,654,68,11.4,1.2
Wyoming,2015,574,56,8,9.8,1.4
Alabama,2014,4765,848,53,17.8,1.1
Alaska,2014,694,82,8,11.9,1.2
Arizona,2014,6657,1409,76,21.2,1.1
Arkansas,2014,2891,532,44,18.4,1.5
California,2014,38666,6112,218,15.8,0.6
Colorado,2014,5376,661,72,12.3,1.3
Connecticut,2014,3577,308,44,8.6,1.2
Delaware,2014,929,103,10,11,1
District of Columbia,2014,657,125,9,19,1.3
Florida,2014,19694,3282,150,16.7,0.8
Georgia,2014,9948,1676,92,16.8,0.9
Hawaii,2014,1365,147,16,10.8,1.1
Idaho,2014,1606,199,22,12.4,1.4
Illinois,2014,12774,1756,111,13.7,0.9
Indiana,2014,6470,948,85,14.6,1.3
Iowa,2014,3078,317,33,10.3,1.1
Kansas,2014,2851,345,31,12.1,1.1
Kentucky,2014,4299,861,69,20,1.6
Louisiana,2014,4550,1049,53,23.1,1.2
Maine,2014,1300,190,20,14.6,1.5
Maryland,2014,5934,584,55,9.8,0.9
Massachusetts,2014,6653,902,71,13.6,1.1
Michigan,2014,9893,1462,90,14.8,0.9
Minnesota,2014,5417,447,53,8.3,1
Mississippi,2014,2961,654,37,22.1,1.2
Missouri,2014,5950,620,54,10.4,0.9
Montana,2014,1008,121,13,12,1.3
Nebraska,2014,1873,221,23,11.8,1.2
Nevada,2014,2819,478,45,17,1.6
New Hampshire,2014,1318,95,11,7.2,0.8
New Jersey,2014,8938,1013,90,11.3,1
New Mexico,2014,2030,406,33,20,1.6
New York,2014,19658,2755,144,14,0.7
North Carolina,2014,9823,1678,117,17.1,1.2
North Dakota,2014,731,71,5,9.7,0.7
Ohio,2014,11505,1792,109,15.6,0.9
Oklahoma,2014,3728,647,51,17.3,1.4
Oregon,2014,3955,570,47,14.4,1.2
Pennsylvania,2014,12620,1581,104,12.5,0.8
Rhode Island,2014,1046,119,14,11.3,1.3
South Carolina,2014,4764,788,51,16.5,1.1
South Dakota,2014,846,109,14,12.8,1.7
Tennessee,2014,6496,1122,75,17.3,1.2
Texas,2014,26676,4364,173,16.4,0.6
Utah,2014,2928,298,36,10.2,1.2
Vermont,2014,615,57,6,9.3,0.9
Virginia,2014,8257,842,73,10.2,0.9
Washington,2014,7079,852,82,12,1.2
West Virginia,2014,1822,376,30,20.6,1.7
Wisconsin,2014,5742,628,55,10.9,1
Wyoming,2014,572,55,6,9.7,1.1
Alabama,2013,4807,891,94,18.5,2
Alaska,2013,696,67,15,9.7,2.1
Arizona,2013,6532,1163,161,17.8,2.5
Arkansas,2013,2852,395,46,13.9,1.6
California,2013,38207,5754,352,15.1,0.9
Colorado,2013,5303,569,72,10.7,1.4
Connecticut,2013,3637,396,59,10.9,1.6
Delaware,2013,912,102,17,11.2,1.8
District of Columbia,2013,647,150,17,23.2,2.6
Florida,2013,19462,2882,249,14.8,1.3
Georgia,2013,9848,1825,172,18.5,1.8
Hawaii,2013,1338,142,24,10.6,1.8
Idaho,2013,1610,200,36,12.4,2.2
Illinois,2013,12654,1720,154,13.6,1.2
Indiana,2013,6557,1083,138,16.5,2.1
Iowa,2013,3076,405,42,13.2,1.4
Kansas,2013,2760,315,70,11.4,2.5
Kentucky,2013,4501,991,106,22,2.4
Louisiana,2013,4534,963,113,21.2,2.5
Maine,2013,1330,151,22,11.4,1.6
Maryland,2013,5946,623,88,10.5,1.5
Massachusetts,2013,6735,818,150,12.1,2.2
Michigan,2013,10074,1277,158,12.7,1.6
Minnesota,2013,5349,589,84,11,1.6
Mississippi,2013,2895,554,101,19.1,3.5
Missouri,2013,5955,1041,136,17.5,2.3
Montana,2013,980,103,27,10.5,2.7
Nebraska,2013,1868,196,30,10.5,1.6
Nevada,2013,2774,401,60,14.5,2.2
New Hampshire,2013,1301,71,13,5.5,1
New Jersey,2013,8728,861,120,9.9,1.4
New Mexico,2013,2079,535,72,25.8,3.5
New York,2013,19335,3337,294,17.3,1.5
North Carolina,2013,9672,1419,192,14.7,2
North Dakota,2013,716,94,15,13.2,2.1
Ohio,2013,11280,1684,174,14.9,1.5
Oklahoma,2013,3697,785,126,21.2,3.4
Oregon,2013,3969,556,80,14,2
Pennsylvania,2013,12804,1432,152,11.2,1.2
Rhode Island,2013,1032,96,18,9.3,1.7
South Carolina,2013,4676,904,107,19.3,2.3
South Dakota,2013,827,110,20,13.3,2.5
Tennessee,2013,6272,972,138,15.5,2.2
Texas,2013,26201,4422,314,16.9,1.2
Utah,2013,2923,357,50,12.2,1.7
Vermont,2013,629,43,10,6.8,1.6
Virginia,2013,8230,805,116,9.8,1.4
Washington,2013,6877,836,99,12.2,1.4
West Virginia,2013,1805,358,51,19.8,2.8
Wisconsin,2013,5615,756,104,13.5,1.9
Wyoming,2013,592,68,11,11.4,1.9
Alabama,2012,4808,777,91,16.2,1.9
Alaska,2012,702,70,8,10,1.1
Arizona,2012,6642,1260,111,19,1.7
Arkansas,2012,2909,584,51,20.1,1.8
California,2012,37912,6015,192,15.9,0.5
Colorado,2012,5153,613,61,11.9,1.2
Connecticut,2012,3517,363,30,10.3,0.9
Delaware,2012,900,121,11,13.5,1.2
D.C.,2012,632,116,9,18.4,1.3
Florida,2012,19166,2926,128,15.3,0.7
Georgia,2012,9665,1752,134,18.1,1.4
Hawaii,2012,1356,188,21,13.8,1.6
Idaho,2012,1588,229,22,14.4,1.4
Illinois,2012,12727,1608,98,12.6,0.8
Indiana,2012,6343,964,70,15.2,1.1
Iowa,2012,3010,310,22,10.3,0.8
Kansas,2012,2828,397,34,14,1.3
Kentucky,2012,4342,776,66,17.9,1.5
Louisiana,2012,4465,944,99,21.1,2.3
Maine,2012,1330,170,14,12.8,1.1
Maryland,2012,5892,585,47,9.9,0.8
Massachusetts,2012,6566,743,59,11.3,0.9
Michigan,2012,9731,1331,95,13.7,1
Minnesota,2012,5353,534,47,10,0.9
Mississippi,2012,2893,636,55,22,1.9
Missouri,2012,5956,905,86,15.2,1.5
Montana,2012,999,134,15,13.4,1.5
Nebraska,2012,1849,226,25,12.2,1.3
Nevada,2012,2735,433,32,15.8,1.2
New Hampshire,2012,1308,106,11,8.1,0.8
New Jersey,2012,8720,814,73,9.3,0.8
New Mexico,2012,2064,420,44,20.4,2.1
New York,2012,19298,3328,131,17.2,0.7
North Carolina,2012,9634,1652,126,17.2,1.3
North Dakota,2012,692,79,7,11.4,1.1
Ohio,2012,11398,1751,119,15.4,1.1
Oklahoma,2012,3700,668,46,18,1.3
Oregon,2012,3872,523,40,13.5,1
Pennsylvania,2012,12664,1756,111,13.9,0.9
Rhode Island,2012,1034,141,12,13.6,1.1
South Carolina,2012,4667,779,63,16.7,1.4
South Dakota,2012,822,106,11,12.8,1.3
Tennessee,2012,6422,1194,118,18.6,1.9
Texas,2012,26063,4444,192,17,0.7
Utah,2012,2849,312,45,11,1.6
Vermont,2012,615,69,7,11.2,1.1
Virginia,2012,7994,850,89,10.6,1.1
Washington,2012,6856,796,58,11.6,0.9
West Virginia,2012,1803,301,40,16.7,2.2
Wisconsin,2012,5628,640,49,11.4,0.9
Wyoming,2012,577,56,7,9.6,1.2
Alabama,2011,4765,732,74,15.4,1.5
Alaska,2011,712,83,9,11.7,1.3
Arizona,2011,6547,1128,107,17.2,1.7
Arkansas,2011,2909,545,46,18.7,1.6
California,2011,37592,6352,202,16.9,0.6
Colorado,2011,5016,661,54,13.2,1.1
Connecticut,2011,3514,356,33,10.1,0.9
Delaware,2011,902,123,9,13.7,1
D.C.,2011,619,123,9,19.9,1.4
Florida,2011,18986,2822,136,14.9,0.7
Georgia,2011,9681,1783,122,18.4,1.3
Hawaii,2011,1337,162,18,12.1,1.4
Idaho,2011,1574,248,26,15.7,1.7
Illinois,2011,12697,1807,109,14.2,0.9
Indiana,2011,6344,989,83,15.6,1.3
Iowa,2011,3027,315,24,10.4,0.8
Kansas,2011,2807,402,32,14.3,1.2
Kentucky,2011,4302,689,60,16,1.4
Louisiana,2011,4494,947,75,21.1,1.6
Maine,2011,1328,178,14,13.4,1.1
Maryland,2011,5806,537,43,9.3,0.8
Massachusetts,2011,6514,688,55,10.6,0.9
Michigan,2011,9689,1449,100,15,1
Minnesota,2011,5276,528,46,10,0.9
Mississippi,2011,2932,510,40,17.4,1.4
Missouri,2011,5892,910,98,15.4,1.7
Montana,2011,986,163,16,16.5,1.6
Nebraska,2011,1823,187,22,10.2,1.3
Nevada,2011,2682,414,34,15.5,1.3
New Hampshire,2011,1300,99,12,7.6,0.9
New Jersey,2011,8642,988,76,11.4,0.9
New Mexico,2011,2037,451,36,22.2,1.8
New York,2011,19329,3085,144,16,0.7
North Carolina,2011,9504,1459,130,15.4,1.4
North Dakota,2011,675,67,10,9.9,1.4
Ohio,2011,11309,1708,129,15.1,1.2
Oklahoma,2011,3763,522,47,13.9,1.2
Oregon,2011,3850,553,51,14.4,1.3
Pennsylvania,2011,12697,1604,106,12.6,0.8
Rhode Island,2011,1038,139,10,13.4,1
South Carolina,2011,4605,874,64,19,1.4
South Dakota,2011,808,117,20,14.5,2.5
Tennessee,2011,6324,1030,104,16.3,1.7
Texas,2011,25554,4458,196,17.4,0.8
Utah,2011,2812,309,29,11,1
Vermont,2011,615,71,6,11.6,1
Virginia,2011,7971,907,70,11.4,0.9
Washington,2011,6812,854,74,12.5,1.1
West Virginia,2011,1820,318,34,17.5,1.8
Wisconsin,2011,5676,743,60,13.1,1.1
Wyoming,2011,562,60,8,10.7,1.4
Alabama,2010,4717,812,83,17.2,1.8
Alaska,2010,695,87,10,12.5,1.5
Arizona,2010,6426,1208,108,18.8,1.7
Arkansas,2010,2879,440,45,15.3,1.6
California,2010,37240,6073,212,16.3,0.6
Colorado,2010,4995,615,54,12.3,1.1
Connecticut,2010,3541,303,27,8.6,0.8
Delaware,2010,890,109,10,12.2,1.1
D.C.,2010,604,118,8,19.5,1.3
Florida,2010,18759,3006,127,16,0.7
Georgia,2010,9650,1814,104,18.8,1.1
Hawaii,2010,1311,162,15,12.4,1.2
Idaho,2010,1543,213,23,13.8,1.5
Illinois,2010,12784,1798,101,14.1,0.8
Indiana,2010,6390,1041,95,16.3,1.5
Iowa,2010,2977,307,30,10.3,1
Kansas,2010,2766,400,39,14.5,1.4
Kentucky,2010,4270,754,65,17.7,1.6
Louisiana,2010,4418,949,69,21.5,1.6
Maine,2010,1298,164,15,12.6,1.2
Maryland,2010,5786,628,50,10.9,0.9
Massachusetts,2010,6532,711,68,10.9,1.1
Michigan,2010,9751,1530,110,15.7,1.1
Minnesota,2010,5217,563,43,10.8,0.8
Mississippi,2010,2920,658,44,22.5,1.5
Missouri,2010,5929,890,79,15,1.4
Montana,2010,979,142,17,14.5,1.8
Nebraska,2010,1804,184,20,10.2,1.2
Nevada,2010,2696,446,35,16.6,1.3
New Hampshire,2010,1294,84,8,6.5,0.7
New Jersey,2010,8733,966,89,11.1,1
New Mexico,2010,2033,372,30,18.3,1.5
New York,2010,19116,3062,147,16,0.8
North Carolina,2010,9359,1633,90,17.4,1
North Dakota,2010,653,82,6,12.6,0.9
Ohio,2010,11341,1746,118,15.4,1.1
Oklahoma,2010,3697,603,62,16.3,1.7
Oregon,2010,3752,537,44,14.3,1.2
Pennsylvania,2010,12530,1535,84,12.2,0.7
Rhode Island,2010,1042,146,11,14,1
South Carolina,2010,4563,773,53,16.9,1.2
South Dakota,2010,799,109,9,13.6,1.1
Tennessee,2010,6315,1052,85,16.7,1.3
Texas,2010,25200,4633,196,18.4,0.8
Utah,2010,2768,278,30,10,1.1
Vermont,2010,624,67,7,10.8,1.1
Virginia,2010,7837,835,73,10.7,0.9
Washington,2010,6713,779,73,11.6,1.1
West Virginia,2010,1816,306,23,16.8,1.3
Wisconsin,2010,5626,567,52,10.1,0.9
Wyoming,2010,550,53,5,9.6,0.9
Alabama,2009,4655,770,60,16.6,1.3
Alaska,2009,688,81,8,11.7,1.2
Arizona,2009,6508,1381,84,21.2,1.3
Arkansas,2009,2846,538,40,18.9,1.4
California,2009,36742,5638,177,15.3,0.5
Colorado,2009,4969,613,58,12.3,1.2
Connecticut,2009,3472,292,35,8.4,1
Delaware,2009,883,109,11,12.3,1.2
D.C.,2009,595,107,9,17.9,1.5
Florida,2009,18385,2676,116,14.6,0.6
Georgia,2009,9657,1775,91,18.4,0.9
Hawaii,2009,1250,156,14,12.5,1.2
Idaho,2009,1524,209,19,13.7,1.2
Illinois,2009,12759,1690,94,13.2,0.7
Indiana,2009,6342,1023,70,16.1,1.1
Iowa,2009,2987,319,34,10.7,1.1
Kansas,2009,2737,374,35,13.7,1.3
Kentucky,2009,4276,727,58,17,1.4
Louisiana,2009,4450,636,55,14.3,1.2
Maine,2009,1297,148,16,11.4,1.3
Maryland,2009,5662,543,54,9.6,1
Massachusetts,2009,6623,717,60,10.8,0.9
Michigan,2009,9797,1376,83,14,0.8
Minnesota,2009,5200,576,54,11.1,1
Mississippi,2009,2847,658,44,23.1,1.5
Missouri,2009,5963,926,68,15.5,1.1
Montana,2009,971,131,12,13.5,1.2
Nebraska,2009,1778,176,20,9.9,1.1
Nevada,2009,2629,343,32,13,1.2
New Hampshire,2009,1313,103,13,7.8,1
New Jersey,2009,8660,806,66,9.3,0.8
New Mexico,2009,1971,381,31,19.3,1.6
